533	0.2 	2.1	0.07
534	1.2 	12.7	0.40
535	3.2 	34.0	1.07
536	5.2 	55.2	1.73
537	8.2 	87.0	2.73
538	13.0 	137.9	4.33
539	18.8 	199.5	6.27
540	23.1 	245.1	7.70
541	24.5 	260.0	8.17
542	24.5 	260.0	8.17
543	24.3 	257.8	8.10
544	23.6 	250.4	7.87
545	22.3 	236.6	7.43
546	20.1 	213.3	6.70
547	18.5 	196.3	6.17
548	17.2 	182.5	5.73
549	16.3 	172.9	5.43
550	15.4 	163.4	5.13
551	14.7 	156.0	4.90
552	14.3 	151.7	4.77
553	13.7 	145.4	4.57
554	13.3 	141.1	4.43
555	13.1 	139.0	4.37
556	13.1 	139.0	4.37
557	13.3 	141.1	4.43
558	13.8 	146.4	4.60
559	14.5 	153.8	4.83
560	16.5 	175.1	5.50
561	17.0 	180.4	5.67
562	17.0 	180.4	5.67
563	17.0 	180.4	5.67
564	15.4 	163.4	5.13
565	10.1 	107.2	3.37
566	4.8 	50.9	1.60
567	0.0 	0.0	0.00
568	0.0 	0.0	0.00
569	0.0 	0.0	0.00
570	0.0 	0.0	0.00
571	0.0 	0.0	0.00
572	0.0 	0.0	0.00
573	0.0 	0.0	0.00
574	0.0 	0.0	0.00
575	0.0 	0.0	0.00
576	0.0 	0.0	0.00
577	0.0 	0.0	0.00
578	0.0 	0.0	0.00
579	0.0 	0.0	0.00
580	0.0 	0.0	0.00
581	0.0 	0.0	0.00
582	0.0 	0.0	0.00
583	0.0 	0.0	0.00
584	0.0 	0.0	0.00
585	0.0 	0.0	0.00
586	0.0 	0.0	0.00
587	0.0 	0.0	0.00
588	0.0 	0.0	0.00
589	0.0 	0.0	0.00
